id	size	gc_content	md5	organism	primary_cluster_id	primary_dist	secondary_cluster_id	secondary_dist	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)
NC_014031	99694	32.971893995626615	086606d1223866ca358d690ecffced12	unknown	AF496	0.06	AP452	0.025	rep_cluster_237	001512__NC_014031_00001	MOBP	NC_014031_00039
AP003602	186614	40.22795717363113	4240b060152859592ae937aac1761b4d	unknown	AA985	0.06	AJ494	0.025	rep_cluster_1671	001073__NC_003240_00086	MOBP	NC_003240_00156
CP042928	319829	33.26183679403681	c7cf1360b4718646c36768eb3d27eee3	unknown	AA794	0.06	AJ151	0.025	rep_cluster_125	000558__CP013279		
CP003286	80384	37.2312898089172	56ab8a65e55a2fba173d456a946d4d1d	unknown	AG572	0.06	AQ620	0.025	rep_cluster_1727	001144__NC_019428_00021		
CP006972	68752	62.904351873400046	60b003e91f7053b53f0b2d74ddcec19c	unknown	AA429	0.06	AI492	0.025	rep_cluster_735,rep_cluster_252	002212__CP002975_00001,001530__CP010865_00002		
LT635659	7282	53.87256248283439	474ef87cf24d7b67273445774f27d7e8	unknown	AC278	0.06	AL396	0.025				
CP011370	159187	57.73210123942282	dc9697909836c4d21a048df18191c1f9	unknown	AG036	0.06	AQ049	0.025	rep_cluster_339	001653__CP011370		
CP003366	39149	59.858489361158654	47923910617674716a449bcb0871e36a	unknown	AG680	0.06	AQ733	0.025	rep_cluster_1559	000927__CP003366_00019		
AF053946	70504	44.81447861114263	e7115bfe36cf973be1a4516cb191d381	unknown	AA996	0.06	AJ509	0.025	rep_cluster_645,IncFII	002101__NC_004564_00056,000122__JQ418538	MOBF	NC_010157_00072
CP029963	93445	51.79089303868586	1203d26332dcccf1b6973a56b6e9a2fc	unknown	AA887	0.06	AJ324	0.025	rep_cluster_1804,IncFIB	001225__CP009851_00013,000107__CP014778_00094	MOBC	NC_014725_00039
CP018824	6058	37.14097061736547	226009ceb88fc9fed6560bb416440fb8	unknown	AB505	0.06	AK312	0.025	rep_cluster_137,rep_cluster_60	000690__NC_017064_00003,002034__AP011944_00001		
LR134453	25966	72.31379496264346	2bd3f04ae55a1a8fdcc080ea6a53bff3	unknown	AG797	0.06	AQ853	0.025				
MG288682	239779	45.327572472985544	13586d04a07e0880e51cf418438cf826	unknown	AA405	0.06	AI438	0.025	rep_cluster_1254,rep_cluster_1150	000562__KT346360_00001,000430__CP020850	MOBH	NC_016980_00239
CP024488	2723	46.7866323907455	866a39c7dfe5a1fb9bc38fb2a0e7a2b9	unknown	AE232	0.06	AN965	0.025				
CP013108	222756	59.707482626730595	02d366eab052edc071816e6e63fbec91	unknown	AE557	0.06	AO362	0.025	rep_cluster_637	002090__CP013108_00001	MOBF	NC_019846_00073
KP868646	88214	53.79191511551454	c280ed363f88c0b173fbf1b1bb2de89a	unknown	AE104	0.06	AN818	0.025	IncU,IncFII,rep_cluster_959	000210__KF623109_00045,000122__JQ418538,002443__CP006922_00079	MOBF	NC_021231_00058
CP001123	46121	42.78961861191215	ea5de699cd7da540a951ab3d1d9b5dd0	unknown	AC024	0.06	AL039	0.025	IncX1	000218__CP001123	MOBP	NC_019097
MH548371	56917	43.88846917441186	4c8216d7cb633ee94d6cf89cd2efcde8	unknown	AF452	0.06	AP400	0.025	IncP	000165__AB453229	MOBP	NC_012919_00011
CP024095	58875	42.63779193205945	4baf6e37166b7546e962421fece433cf	unknown	AG659	0.06	AQ711	0.025	IncQ1	000195__NC_013728_00014		
CP038645	116047	41.62709936491249	a6cb6ac5f2f93e4a351f02bfa177dbed	unknown	AB114	0.06	AJ690	0.025	rep_cluster_718	002191__CP004359_00001	MOBP	NC_020524_00069
KT601170	60563	32.04431748757492	636cc2ee7cbd515ad63d80754a02afb6	unknown	AE819	0.06	AO680	0.025	rep_cluster_211	001479__KX982171_00001		
AY673960	2899	37.150741635046565	bc74ed345b21c1f173172abe341f9166	unknown	AC196	0.06	AL291	0.025	rep_cluster_707	002175__NC_017468_00016		
CP030914	85842	60.09529134922299	bc19f72f71b214bb49ec2c69f73f903f	unknown	AF876	0.06	AP882	0.025	rep_cluster_322	001633__HM560971	MOBH	NC_019202_00108
CP038794	4715	41.12407211028632	bc01f198c354f76a706b3b8b897d43af	unknown	AD485	0.06	AN056	0.025	ColRNAI_rep_cluster_1857	000008__AJ627566		
NC_015419	12403	26.251713295170525	c2b0e88db70b77eb09faa08b3f34499e	unknown	AE801	0.06	AO658	0.025				
CP028576	112422	51.02382096031026	e96378080e94bc9aa42432fdd37f5725	unknown	AA170	0.06	AH821	0.025	IncFIB,IncFIIA,IncFII,IncFIA	000096__NC_019117_00097,000136__AP014877_00014,000121__CP024805,000094__NZ_CP015070_00117		
CP012531	11297	36.81508365052669	80f6d1a56f83c9a1eb2f2a066f1fe60f	unknown	AF400	0.06	AP345	0.025	rep_cluster_1059	000301__CP012531_00001		
CP029599	77110	52.98534561016729	98c545b81a680378909c0881e0afeaf4	unknown	AA002	0.06	AH528	0.025	IncL/M	000148__NC_021488_00028	MOBP	NC_004464_00056
CP025857	108475	49.6934777598525	e182c70d27a5120fbdd2045fc93f24e1	unknown	AA183	0.06	AH878	0.025	IncFIIA,IncFII,IncFIB	000136__AP014877_00014,000121__CP024805,000096__NC_019117_00097	MOBF,MOBP	NC_017627_00068,NC_011416_00039
HG003695	87619	52.40644152523996	59362ee50d4093342682f53d7df5ad57	unknown	AA323	0.06	AI214	0.025	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBF	NC_017627_00068
CP039973	11194	54.89547972127926	941bdd0c85df2ecabbb3e35cae381078	unknown	AA941	0.06	AJ417	0.025	ColRNAI_rep_cluster_1857	000003__NC_002119_00001	MOBC	NC_009793_00003
CP002398	160346	57.25805445723623	fd2b5c1a1d0b234fc936da2bc6b1ba48	unknown	AG521	0.06	AQ564	0.025	rep_cluster_535	001908__CP002398_00070	MOBF	NC_014819_00041
MH213345	80215	51.769619148538304	5eda4f407cc04ee49f5246011611c190	unknown	AA323	0.06	AI214	0.025	IncFIIA,IncFII	000136__AP014877_00014,000121__CP024805	MOBF	NC_017627_00068
NC_014754	118585	40.611375806383606	183e34cf2687f4b5b0a2ad9af361a27e	unknown	AD200	0.06	AM672	0.025	rep_cluster_36	001675__NC_014754		
CP043507	165009	56.162997169851344	a3def31b0ad22044f81c878553a38f14	unknown	AF443	0.06	AP391	0.025			MOBP	NC_013210_00118
CP011973	74423	56.00956693495291	fc6205a578e28a534b4ef27ed6975c1f	unknown	AA237	0.06	AH965	0.025	rep_cluster_283	001565__CP011973_00050	MOBP,MOBP	NC_007507_00032,NC_004632_00034
CP044174	82741	26.323104627693645	ddeaff659f863c599d1ee7691b641311	unknown	AE190	0.06	AN915	0.025				
CP013486	128112	44.278443861621085	469947872e86a4b0608456e0c4ba49ec	unknown	AG637	0.06	AQ685	0.025	rep_cluster_803	002285__CP013486		
CP036567	9755	34.90517683239364	9082a86e389fc8f7cd82f5414718eb11	unknown	AD016	0.06	AM419	0.025				
NC_011732	22636	39.366495847322845	9c1a2b7ef368ebe987fe8fa12f4a2600	unknown	AG490	0.06	AQ532	0.025				
CP032643	51005	38.927556121948825	08fde95f01c280b1e4019dd3ca5bd84e	unknown	AF845	0.06	AP847	0.025	rep_cluster_707	002181__CP016800	MOBP	NC_021503_00019
CP004351	2461	56.765542462413656	f5d54cb405a535f4931c8f425ab5597f	unknown	AF455	0.06	AP404	0.025	rep_cluster_1366	000685__NC_011030_00002		
CP034795	94987	47.92971669807447	7de7a420b62ad398393ac1bbdc207250	unknown	AA345	0.06	AI296	0.025	IncFII,IncFIIA,IncFIB	000121__CP024805,000136__AP014877_00014,000095__NZ_CP014273_00094	MOBP	NC_011416_00039
CP041756	41171	54.81771149595589	fd1ac50d9025d1cc451e4b405d94e1da	unknown	AD117	0.06	AM556	0.025	rep_cluster_283	001564__CP006257_00001	MOBP	NC_005205_00082
MG869625	52468	58.563314782343525	859719ac427adc4815d3f8bf5f56db60	unknown	AG466	0.06	AQ503	0.025	rep_cluster_1495	000832__NC_008758_00034		
CP001125	110227	53.98405109455941	aebe9298fa76c3f8c70296db12742922	unknown	AA595	0.06	AI825	0.025	IncFIB	000107__CP014778_00094	MOBC	NC_014725_00039
NC_012185	81995	25.05640587840722	26d3a6d3e0769a559a9e6bb7b3410a7d	unknown	AC421	0.06	AL604	0.025				
CP039274	4096	55.517578125	fdcd12c8ba652328bb3816739fbb0467	unknown	AB039	0.06	AJ577	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005	MOBP	NC_013090_00004
AY033516	7086	47.050522156364664	12cd7dd6d466c0d93c65e28a28fe36e6	unknown	AB957	0.06	AK945	0.025	ColRNAI_rep_cluster_1857	000012__CP000801		
NC_012502	29870	31.62370271175092	11780860efe62235e1ef673283903085	unknown	AA779	0.06	AJ125	0.025	rep_cluster_1529	000887__NC_012502_00032		
CP023738	285280	66.02811273135165	165ede7092d57cff0235c6c41b8ff7df	unknown	AE543	0.06	AO347	0.025				
CP009154	47098	61.934689371098564	b3db2c3a8a4111fc41597ef3fe645597	unknown	AD328	0.06	AM855	0.025	rep_cluster_215	001483__CP009154_00049		
CP035557	65315	40.97374263186098	2df23315e1e92babe4e8fb20b657f5cd	unknown	AC463	0.06	AL666	0.025			MOBQ	NC_006377_00033
NC_020422	5362	32.41327862737784	e23eabdf0fa5b9c755b48b70642d0284	unknown	AF279	0.06	AP212	0.025				
KU997026	217306	52.748198393049435	7fce100d8f8392c6920139c3ed34dd08	unknown	AA860	0.06	AJ272	0.025	IncA/C2,rep_cluster_2050	000092__CP025470,001473__CP024541	MOBH,MOBH,MOBP	NC_012885_00072,NC_012690_00071,NC_021576_00050
NC_016846	111195	53.30545438194164	61397198ea1e33e8fe4d8208b30f9ef3	unknown	AA448	0.06	AI530	0.025	IncU,IncFII,IncFII,IncR	000210__KF623109_00045,000113__CP022035,000129__CP018340,000204__CP008701_00115	MOBF	NC_021231_00058
KM659912	6029	65.08542046773925	9fe94084f5521bb9dd59781ac0000f1b	unknown	AA077	0.06	AH680	0.025	rep_cluster_323	001636__KM659912_00001		
CP044962	126750	51.323076923076925	37c9813c6aaba1ccf26a190219680ffd	unknown	AA627	0.06	AI885	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012690_00071,NC_012885_00072
CP007180	48422	29.110734789971502	8dfd1dc725dddb55d8c2c0f6b9e47d60	unknown	AC320	0.06	AL464	0.025	rep_cluster_475	001828__CP007750	MOBP	NC_022355_00016
CP011046	103451	66.15789117553238	864fad7ca00f5207507f4b373a36791a	unknown	AE704	0.06	AO548	0.025	rep_cluster_966	002451__CP011046_00011		
KY271404	227989	52.210852277960775	2bd699052f45cfbcfcf5aa2a728fa736	unknown	AA277	0.06	AI089	0.025	IncFII,IncFIB	000124__KP125893_00142,000107__CP014778_00094	MOBF	NC_021231_00058
CP019658	48714	39.89407562507698	2e08fb3c2c19f617e0d99324aacdc014	unknown	AD063	0.06	AM490	0.025	rep_cluster_100	000234__CP019796_00036		
CP022240	5498	36.64969079665333	3b0dc3528c8e0b4e1c6e495ef1f9854d	unknown	AG798	0.06	AQ854	0.025				
AY230888	2456	50.692182410423456	5bdfb5a466b8f449c98bf0b2d0e57c52	unknown	AG799	0.06	AQ855	0.025	IncFIB	000095__NZ_CP014273_00094		
CP039575	3003	45.25474525474525	bffe49d9b514da8f74fcdb745bfb9f22	unknown	AA669	0.06	AI946	0.025	ColRNAI_rep_cluster_1857	000008__AJ627566	MOBF	CP019897
CP006739	24391	48.99758107498668	4d7ccf990e2e99f682ff9bdc976dd819	unknown	AC623	0.06	AL888	0.025	rep_cluster_1443	000785__NC_014113_00026	MOBP	NC_014111_00004
NC_008573	278942	45.66935061769113	9a1923f72a31c3f6465bd121a0239e33	unknown	AD227	0.06	AM700	0.025	rep_cluster_493	001863__CP000470_00108	MOBH	NC_008573_00149
CP029386	52989	49.28381362169507	2e94d3918770765edfabbd4ca90ea54c	unknown	AA038	0.06	AH618	0.025	IncX3	000221__NC_025130_00012	MOBP	NC_020552_00059
LT985231	114286	50.402498993752516	ef4e61686228956072c3dc26ed8b933a	unknown	AA474	0.06	AI596	0.025	IncI1	000145__HE610900_00001	MOBP	NC_019097
CP011143	1552	51.868556701030926	c2ee3c03f191445869504092ab0ea765	unknown	AB685	0.06	AK563	0.025	ColRNAI_rep_cluster_1885	000013__DQ995351_00001		
MK101346	129329	51.64502934376667	4d791aafd868fc9ec2ff25895d700752	unknown	AA860	0.06	AJ272	0.025	IncA/C2	000092__CP025470	MOBH,MOBH	NC_012885_00072,NC_012690_00071
CP033830	43953	50.48347098036539	c5b3a0dd43fb4563a5c14d92b8fc59d7	unknown	AA552	0.06	AI746	0.025	IncN	000155__CP018649	MOBF	NC_015599_00019
CP003457	2287	28.377787494534324	e5753b59d38b6c4c8bf605ca189d0c2d	unknown	AC220	0.06	AL319	0.025				
AP013062	309692	60.11165932604007	21bbb156c401bf28068e4e977f60befd	unknown	AG800	0.06	AQ856	0.025				
CP015204	108503	62.59734753877773	4af438c0d6a51ddfb940dda62bccabf9	unknown	AD999	0.06	AN698	0.025	rep_cluster_87	002349__CP015204_00037		
CP009030	58317	61.8533189293002	6a00dea4707d577e9d342916a7b85a73	unknown	AA598	0.06	AI831	0.025	rep_cluster_461	001811__CP013007_00019	MOBP,MOBP	NC_007507_00032,NC_020817_00061
KX772777	33309	41.841544327358974	a3df50d40536cbe127060b2dcab174da	unknown	AA619	0.06	AI859	0.025	IncX4	000224__NC_022105_00002	MOBP	NC_013718_00057
CP031899	160712	49.42941410722286	6c592e8906321078a9cb80e18b28511c	unknown	AA279	0.06	AI095	0.025	IncFIB,IncI1	000095__NZ_CP014273_00094,000145__HE610900_00001	MOBP	NC_013728_00087
CP014508	286935	57.06449195810898	6731d91ebf317d08ddaf67de44edf800	unknown	AG461	0.06	AQ498	0.025				
CP016903	4008	37.300399201596804	ef89e84fc9331ae5c26e212469b767a5	unknown	AF193	0.06	AP114	0.025	rep_cluster_1475	000814__CP016903_00001		
MK649828	167922	50.22629554197783	18a985fe9360a4603a23f1fbb7dc11e3	unknown	AA454	0.06	AI557	0.025	IncFIB,IncFII	000107__CP014778_00094,000127__CP009275	MOBF	NC_021231_00058
NC_017657	66078	48.913405369411905	66529eba703761854781be57da3b0688	unknown	AA295	0.06	AI134	0.025	IncFIB	000096__NC_019117_00097	MOBP	NC_011416_00039
AP012299	285449	49.95077929857873	47417ac8032be8dbcdfbd862b928f55b	unknown	AF226	0.06	AP149	0.025				
CP000785	131196	56.848531967438035	58f37cfb53c6562e277891f25a284f9d	unknown	AD164	0.06	AM618	0.025	rep_cluster_574	001975__CP004092_00108		
CP033816	2366	31.02282333051564	0571c4ec3afc07009e2b7614385ed32e	unknown	AC627	0.06	AL894	0.025	rep_cluster_1947	001391__NC_019143_00002		
AP019775	9051	38.79129377969285	97fb9b54f131058d53e9c3fdb76f5d89	unknown	AG801	0.06	AQ857	0.025				
CP034043	3511	54.514383366562235	bd72c114c274fe07214334b7a79afb06	unknown	AB045	0.06	AJ589	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005	MOBP,MOBP	NC_019986_00002,NC_001848_00006
CP027799	38978	34.29626969059469	fc7804b46968cacace6c2d2ba450278c	unknown	AE809	0.06	AO666	0.025				
CP026172	243967	46.29355609570147	d2d5d42b20502ef92be22d1e06360713	unknown	AA405	0.06	AI445	0.025	rep_cluster_1150,IncH	000430__CP020850,000137__CP017986_00041	MOBH	NC_016980_00239
CP023417	311641	50.22862845389406	a79585ca3de7902d06b9fb19c6444a9c	unknown	AA815	0.06	AJ184	0.025	IncFIB,rep_cluster_1150	000107__CP014778_00094,000430__CP020850	MOBH	NC_016980_00239
CP025870	100470	47.26286453667762	90421eeadaa246c988f9a8aaefce68ff	unknown	AA746	0.06	AJ067	0.025	rep_cluster_488	001852__AP017612_00001	MOBP	NC_011416_00039
LT985301	11964	52.77499164159144	f519c3e8c27b37ad3d98c3c3f23bd99c	unknown	AC411	0.06	AL593	0.025	ColRNAI_rep_cluster_1291	000001__EU090225_00001	MOBQ	NC_011093_00004
CP023812	81514	35.81225310989523	e209d7f5d467d01e31594345d03c0729	unknown	AD910	0.06	AN597	0.025	rep_cluster_889	002366__KY595966_00031	MOBP	NC_021995_00038
CP031548	221041	49.91019765563855	65d92252d0265cfb38ce0b73bb76de9f	unknown	AA328	0.06	AI229	0.025	IncFIIA,IncFII,IncI1,IncFIB	000136__AP014877_00014,000121__CP024805,000144__CP015838_00058,000095__NZ_CP014273_00094	MOBF	NC_017627_00068
CP017204	30192	29.19316375198728	1de75bb1eea398eda2ba6808f7e78ee1	unknown	AA252	0.06	AH997	0.025				
KC291147	5644	51.11622962437987	bfb5e3161176a566d213eff465934193	unknown	AA266	0.06	AI059	0.025	rep_cluster_1164	000444__AF244084_00005		
NC_002134	94281	51.974416902663314	cfc84fc1949475790520e66de3ca69b0	unknown	AA338	0.06	AI281	0.025	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBF	NC_017627_00068
NC_021575	27051	39.45880004436065	b139214665c16f34ff185c5403cd8313	unknown	AG614	0.06	AQ662	0.025	rep_cluster_1717	001130__KC733807_00005		
CP031587	180236	66.02177145520318	30529e07be32b95bae896e94abc98ec0	unknown	AF298	0.06	AP231	0.025				
CP032636	51286	41.882775026322975	0fb479b847b53678941235465783233f	unknown	AA917	0.06	AJ370	0.025	rep_cluster_707	002174__CP006038_00005	MOBV,MOBQ	NC_016820_00021,NC_011352_00007
CP015014	18345	32.15044971381848	1ae2ca00240055e33bd45884685bc958	unknown	AB653	0.06	AK517	0.025	rep_cluster_16	000977__CP015014	MOBQ	NC_013938_00014
CP011843	59372	51.95715151923466	e9de16f10cc25c1364150291bf6393ab	unknown	AB461	0.06	AK250	0.025	IncFII,IncFIB	000114__CP015527,000101__NZ_CP012345_00042		
NC_021240	10672	59.03298350824588	28e0e35422974c627f8c23a87ce647e4	unknown	AE039	0.06	AN743	0.025	rep_cluster_1598	000972__NC_021240_00001	MOBQ	NC_021240_00008
CP030830	380325	58.62407151778085	035a1d21b527b962f9c88c09bbc84a88	unknown	AF765	0.06	AP762	0.025			MOBP	NC_011986_00036
AB010724	9014	68.72642556023963	daac28200c4b60dd4d29500e22df0d33	unknown	AG620	0.06	AQ668	0.025				
CP012557	52336	53.07627636808316	a73b6253506467c73898110812a8ef0e	unknown	AB534	0.06	AK358	0.025				
CP014654	19820	36.86680121089808	fae97d31d6244536125ac52487ec5e1f	unknown	AB407	0.06	AK176	0.025				
NC_019137	107637	51.560337058818064	2e7400d65ecbd616d6b6c5777650c445	unknown	AA474	0.06	AI596	0.025	IncI1,IncQ1	000145__HE610900_00001,000195__NC_013728_00014	MOBP	NC_019097
NC_005908	3728	31.706008583690988	babf942795af3f17c2664da866279756	unknown	AC628	0.06	AL895	0.025	Inc11	000054__HG380318_00002	MOBP	NC_005908_00001
CP040756	13537	56.43791091083696	4b9a0fe516d6dcbec3f156875e457d72	unknown	AG698	0.06	AQ752	0.025				
NC_002142	68817	46.024964761614136	2f70a7e9ec84d7e4f413260bfb3268a3	unknown	AB269	0.06	AJ980	0.025	IncFIB,IncFIIA,IncFII	000101__NZ_CP012345_00042,000136__AP014877_00014,000121__CP024805		
JQ269335	34294	43.15040531871465	eaf6f9dea79455f59039723fe64fa67a	unknown	AC305	0.06	AL437	0.025	IncX2	000219__NC_005923_00001	MOBP	NC_019047_00022
AP019544	23184	28.56711525189786	fef91a7c3cf8570f34a073a3245d24b1	unknown	AA840	0.06	AJ229	0.025	rep_cluster_1017,rep_cluster_1733	000261__GQ900456,001150__NC_013330_00017		
LN824134	279305	46.72526449580208	8cfb99fd20b5b7a268d9b27e50e826bc	unknown	AA405	0.06	AI443	0.025	rep_cluster_1150,IncH	000430__CP020850,000137__CP017986_00041	MOBH	NC_016980_00239
JQ065021	4502	57.92980897378943	6361ac0caf49809d53b13640193290b4	unknown	AE482	0.06	AO273	0.025				
CP018385	297875	60.95274863617289	bc4d1bea96fe2e8bb3019c7c34cc0dea	unknown	AG722	0.06	AQ777	0.025	rep_cluster_210	001478__CP018385_00156		
NC_005910	5113	46.17641306473695	2edaa1221c110f0fe21f5f36cfd6b1af	unknown	AF726	0.06	AP717	0.025			MOBP	NC_005910_00003
CP042895	258004	46.85818824514349	d12ad968cd376b7ed475025d01a71c17	unknown	AA738	0.06	AJ047	0.025	rep_cluster_1088,IncH	000340__KU353730,000139__NC_012555_00001	MOBP,MOBH	NC_011416_00039,NC_012555_00231
NC_002013	2910	29.38144329896907	76eaf398b2b63c86090185d624ed0cea	unknown	AB642	0.06	AK500	0.025	rep_cluster_1230	000530__NC_010626_00002		
CP006971	77775	54.77338476374156	537e899e87c594c4df81323bd27718b2	unknown	AA463	0.06	AI572	0.025	rep_cluster_538	001910__CP006971	MOBP	NC_023141_00062
CP036953	2770	30.144404332129962	e98226bad449c6cd17aa5d9f9c388e27	unknown	AC779	0.06	AM115	0.025				
NC_014124	128921	55.977691764724135	7c9084131e7beead8815398ac0210e6b	unknown	AC066	0.06	AL098	0.025	IncP	000163__NC_011838_00078	MOBP	NC_011838_00155
LR134430	15226	40.67384736634704	0c2cdb349a7802471e4c19e7901acf63	unknown	AE172	0.06	AN897	0.025				
KY471313	61653	42.81543477203056	fc74dd1372f0a4a95130f4fb30d4b033	unknown	AA372	0.06	AI350	0.025	IncI2	000147__CP006264_00003	MOBP	NC_022520_00030
CP041367	1579	41.10196326789107	d97d7b27330e76daf7c119e905c8ac7d	unknown	AF523	0.06	AP484	0.025				
CP037277	1720	30.058139534883722	b573fcf60ba85b5e72507176c3db764d	unknown	AA959	0.06	AJ447	0.025				
JX194159	14573	50.188705139641804	557cdeffb92318d6de0cf86e97cbc851	unknown	AF380	0.06	AP322	0.025	rep_cluster_431	001772__JX194159_00010		
LT985193	61361	55.17837062629357	94b79261ae2f81e3f070984c34bfdee7	unknown	AD109	0.06	AM544	0.025	rep_cluster_283	001578__CP000059_00001	MOBP	NC_019292_00031
CP028642	6078	46.34748272458045	dfaa8d820a3c55a6e6d9ab9e872a0c6f	unknown	AA149	0.06	AH788	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005	MOBP	NC_019076_00002
MK542639	59891	42.353609056452555	56cde93b52fa8c92af822a3e64aec6a7	unknown	AA372	0.06	AI350	0.025	IncI2	000147__CP006264_00003	MOBP	NC_022520_00030
CP006836	144951	65.77119164407283	41d1ae4a236ff6cb5117fd8d87f55119	unknown	AF344	0.06	AP285	0.025	rep_cluster_519	001893__CP006836	MOBF	NC_020275_00121
NC_015170	132270	66.13517804490814	faef493ab0c93190a2fa42857341571b	unknown	AF636	0.06	AP616	0.025	rep_cluster_1658	001059__CP002539_00030		
CP009362	27491	30.686406460296098	41610cbe4a8be0e82a8e968ae58d5c2b	unknown	AA410	0.06	AI460	0.025	rep_cluster_1733,rep_cluster_1017	001150__NC_013330_00017,000261__GQ900456	MOBP	NC_005951_00004
CP023971	9893	28.131001718386738	3a431ffaa56a1b9d8b668787c258c9ae	unknown	AB817	0.06	AK761	0.025	rep_cluster_1442	000784__NC_007171_00001		
CP042533	51987	51.59559120549368	0b073d7595eab91f4064f0cfb969ea86	unknown	AA552	0.06	AI745	0.025	IncN	000155__CP018649	MOBP,MOBF	NC_021576_00050,NC_015599_00019
CP034969	4791	47.15090795241077	484dbf8125424e711b92d19ec856eecc	unknown	AB058	0.06	AJ616	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005		
NC_020290	5214	46.87380130418105	779d23b04bc566264d0a12c48ef11c9c	unknown	AF976	0.06	AP987	0.025				
NC_019553	18332	40.8356971416103	a07a22bac224bc3c518806f4b0284e10	unknown	AB397	0.06	AK163	0.025	rep_cluster_731	002205__JX416328_00018	MOBQ,MOBQ	NC_020821_00023,NC_015603_00001
CP035030	23009	39.20205137120257	9371d84042688c60a6b7a84586bf10ce	unknown	AE901	0.06	AO771	0.025				
CP011644	40939	53.704291751141945	a75b65c3b0754b82b6f57ece196296bd	unknown	AB193	0.06	AJ856	0.025	IncR	000204__CP008701_00115	MOBP	NC_021576_00050
CP012926	37697	41.1783431042258	fbe38bcea724c4049d27b6cfe75def74	unknown	AB233	0.06	AJ927	0.025	IncX1	000215__KC853434_00019	MOBP	NC_019096_00001
CP020084	145829	60.70054653052548	914e1c313f511b18f48508503b97737c	unknown	AB218	0.06	AJ895	0.025				
HE579072	23759	29.332042594385285	8b08c221524ae4f84e07a866c2970e5a	unknown	AA849	0.06	AJ246	0.025	rep_cluster_1215,rep_cluster_1017,rep_cluster_1017	000509__NC_016643_00001,000258__NC_013297_00004,000259__NC_013375_00001		
CP033636	253793	46.79601092228706	bfb06ecd36b2301ca4f50f6c4be95d44	unknown	AA738	0.06	AJ047	0.025	rep_cluster_1088,IncH	000340__KU353730,000139__NC_012555_00001	MOBH,MOBP	NC_012555_00231,NC_011416_00039
CP017136	19028	31.02795879756149	93772659e66c06c4df8c30e1f26d5e66	unknown	AD877	0.06	AN549	0.025				
NC_016139	4019	32.14730032346355	a37aad46bf8d6bcc0101a1743d13ff8f	unknown	AF044	0.06	AO945	0.025	rep_cluster_1018	000268__U32369_00002	MOBV	NC_022618_00010
KU356480	338538	44.263568639266495	922eba6b314840c25fbeb5ea5d22a9bf	unknown	AC281	0.06	AL399	0.025	rep_cluster_960	002446__KU356480_00111		
MG299141	109845	53.13942373344258	9ccf36c21a59693862680ddef7e6f304	unknown	AA282	0.06	AI114	0.025	IncFIIA	000136__AP014877_00014	MOBP	NC_013728_00087
CP023160	52393	62.65722520183994	cf2fd852dcae1c67aa3af02051bd64a1	unknown	AA600	0.06	AI836	0.025	rep_cluster_766	002245__CP017023		
CP024519	3223	56.34502016754576	56f4bf80b263824d7bb21b7972677eb6	unknown	AA531	0.06	AI714	0.025	ColRNAI_rep_cluster_1987	000019__CP000651_00005	MOBP	NC_013090_00004
NC_002698	221851	46.363099557811324	359a71a7dc6a9bed4ebd7ec72e4924c6	unknown	AB272	0.06	AJ985	0.025	IncFII,IncFIIA	000121__CP024805,000136__AP014877_00014	MOBP,MOBF	NC_011416_00039,NC_017627_00068
CP000761	101491	58.53425426885143	1714734ef4c3ab8777cfcda751b8cf2f	unknown	AC339	0.06	AL500	0.025	rep_cluster_725	002198__NC_009670_00103		
CP014877	64928	40.51872843765402	c162906edf05522e7dce1c240984e41a	unknown	AA508	0.06	AI668	0.025	rep_cluster_731,rep_cluster_1567	002206__JX416329_00023,000940__CP021472	MOBQ,MOBP	NC_015603_00001,NC_015979_00031
CP000476	300725	61.34674536536703	11f110106280d4cf04781adac85853ff	unknown	AA167	0.06	AH815	0.025	rep_cluster_884	002362__CP000476_00145	MOBP	NC_008713_00079
CP038458	28640	50.43994413407821	f052733d13bd9fb935d70bde6d9a6e58	unknown	AB195	0.06	AJ865	0.025	IncR,IncX3	000204__CP008701_00115,000221__NC_025130_00012		
CP028321	114229	51.022945136524	49141ad962de262b661d7c1002cb4677	unknown	AA337	0.06	AI278	0.025	IncFIB,IncFII,IncFIIA,ColRNAI_rep_cluster_1291	000096__NC_019117_00097,000121__CP024805,000136__AP014877_00014,000002__NC_009781	MOBF,MOBP	NC_017627_00068,NC_011416_00039
CP011916	110961	50.04010418074819	c13311874e9400387d7b4703e9be48c1	unknown	AA175	0.06	AH848	0.025	IncFIB,IncFIIA,IncFII	000095__NZ_CP014273_00094,000136__AP014877_00014,000121__CP024805	MOBP,MOBF	NC_011416_00039,NC_017627_00068
CP020963	5222	60.66641133665262	19b0cd58ef7db03e68abb4cadf69b535	unknown	AG802	0.06	AQ858	0.025				
