sample_id	rep_type(s)	length	host_species	host_taxid	reported_host_range_taxid	pmid	pmcid	doi	year	author	notes
KT754167	IncI-gamma/K1	119227	Shigella dysenteriae 1	984897		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
CP018975	IncI1/B/O	95926	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KX246268	IncI1/B/O	86207	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
GU256641	IncI1/B/O	110416	Escherichia coli	562		20956594			2011	Papagiannitsis,C.C.	
CP012627	IncI1/B/O	92766	Escherichia coli 	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
EU935740	IncI1/B/O	93732	Escherichia coli 	562		23333216		https://doi.org/10.1016/j.plasmid.2013.01.001	2013	Anne Bleicher	
EU418926	IncI1/B/O	87925	Escherichia coli 	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KU932021	IncI1/B/O	91885	Escherichia coli 	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
HE603110	IncI1/B/O	91942	Escherichia coli 	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KP987217	IncI1/B/O	85338	Klebsiella pneumoniae	573		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
HF572032	IncI1/B/O	94089	Shigella sonnei	624		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KU761326	IncI2	64964	Escherichia coli	562		26842776		10.1128/AAC.00550-16	2016	Li,A.	
FR851304	IncI2	56676	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KP091735	IncI2	62194	Escherichia coli	562		25861872		10.1016/j.diagmicrobio.2015.02.010	2015	Ho,P.L.	
AP002527	IncI2	75582	Escherichia coli	562		30761100	PMC6361801 	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	Reference IncI2
KP198615	IncI2		Escherichia coli	562		25861872		10.1016/j.diagmicrobio.2015.02.010	2015	Ho,P.L.	
KY693674	IncI2	63722	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KP347127	IncI2	64015	Escherichia coli	562		26842776		10.1128/AAC.00550-16	2016	Li,A.	
JN797501	IncI2	62196	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KC845573	IncI2	77801	Klebsiella pneumoniae	573		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
JN983044	IncI2	65030	Salmonella enterica	611		26842776		10.1128/AAC.00550-16	2016	Li,A.	
KJ460501	IncI2	62194	Shigella sonnei	624		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
CP013024	IncK2/Z	120611	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KC340959	IncK2/Z	115452	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KC340960	IncK2/Z	124908	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	Reference plasmid
KJ484640	IncK2/Z	87042	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KJ484627	IncK2/Z	107386	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KU312044	IncK2/Z	79298	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KR905384	IncK2/Z	85963	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KR905388	IncK2/Z	79176	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KR905390	IncK2/Z	79277	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KR905386	IncK2/Z	79297	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KR905389	IncK2/Z	85422	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
CP013024	IncK2/Z	120611	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KC340959	IncK2/Z	115452	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
KC340960	IncK2/Z	124908	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	Reference plasmid
AF550415	IncL/M	89468	Citrobacter freundii	546		17698626			2007	Golebiewski,M.	
AF550415	IncL/M	89468	Citrobacter freundii	546		17698626			2007	Golebiewski,M.	
HQ451074	IncL/M	88803	Escherichia coli	562		22083465			2012	Poirel,L.	
HQ451074	IncL/M	88803	Escherichia coli	562		22083465			2012	Poirel,L.	
JN626286	IncL/M	61881	Klebsiella pneumoniae	573		22083465			2012	Poirel,L.	
KM406490	IncL/M	79502	Salmonella enterica subsp. enterica serovar Typhimurium	90371		25933288			2015	Carattoli,A.	
NC_015599	IncN	54205	Escherichia coli	562		28842132			2017	Gama JA	From Fig S3
KC788405	IncN	145401	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
JX193301	IncN	83712	Klebsiella pneumoniae	573		23114770			2013	Chen,L.	
BN000925	IncP	60096	Birmingham IncP-alpha plasmid	35419		28842132			2017	Gama JA	From Fig S3
JX486125	IncP	61919	Escherichia coli	562		25389419	PMC4211555	10.3389/fmicb.2014.00558	2014	Rahube TO	
KX377410	IncP	57278	Klebsiella pneumoniae	573		27895009	PMC5278755 	10.1128/AAC.02229-16	2017	Zhao F	pMCR_1511 has the typical IncP-1 plasmid backbone (PMID: 27895009)
AM261282	IncP	54383	Kluyvera sp.	579		54383		10.1111/j.1574-6968.2006.00536.x	2007	Bahl,M.I.	pKJK5 (Epsilon clade; GenBank accession no. AM261282) (PMID: 27895009)
U20374	IncP	7426	Neisseria gonorrhoeae	485		23980652			2013	Jain A	
AJ877225	IncP	57121	Pseudomonas aeruginosa	287		30619542	PMC6312765 	doi:10.1016/j.plasmid.2005.11.003	2006	Haines, A. S.	plasmid pRms149 (Haines et al., 2005), originally isolated from Pseudomonas aeruginosa (Sagai et al., 1975), where it is the only known member of the IncP-6 incompatibility group
JQ480155	IncQ1	27072	Escherichia coli	562		25389419	PMC4211555	10.3389/fmicb.2014.00558	2014	Rahube TO	
M28829	IncQ1	8684	Escherichia coli	562		2653965			1989	Scholz,P.	
JQ480155	IncQ1	27072	Escherichia coli	562		25389419	PMC4211555	10.3389/fmicb.2014.00558	2014	Rahube TO	
FJ696404	IncQ2	9042	Escherichia coli	562		20525990			2010	Poirel,L.	plasmid non-conjugative
JX424614	IncR	49770	Klebsiella pneumoniae	573		23711894		10.1093/jac/dkt196	2013	Papagiannitsis CC	plasmid non-conjugative
NC_020123	IncT	83698	Citrobacter freundii	546		23357767	PMC3623325 	10.1128/AAC.01297-12	2013	Villa,L.	Mobilizable but non-self-conjugative IncT-type plasmid. Probably requires other plasmid to move. A large deletion that had occurred inside the transfer system genes
AP004237	IncT	217182	Proteus vulgaris	585		12029035			2002	Murata T	
NC_006143	IncU	84749	Aeromonas caviae	648		30619542	PMC6312765 	doi:10.1016/j.plasmid.2005.11.003	2006	Haines, A. S.	This plasmid was originally isolated from a hospital effluent (Kendal, Cumbria, United Kingdom) strain of Aeromonas caviae HG5B in September 1997 and was subsequently transferred to Escherichia coli J53-1 by conjugation
JX843237	IncU	20914	Escherichia coli	562		25389419	PMC4211555	10.3389/fmicb.2014.00558	2014	Rahube TO	plasmid non-conjugative
FJ628167	IncU	151188	Klebsiella pneumoniae	573		20547789			2010	Jiang,Y.	
BR000038	IncW	33913	Escherichia coli	562		28842132			2017	Gama JA	From Fig S3
JQ269336	IncX1	38611	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JF776874	IncX1	38611	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
FJ666132	IncX1	42644	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
EU370913	IncX1	51602	Escherichia coli	562		21625636	PMC3097218	10.1371/journal.pone.0019912	2011	Lars H. Hansen	
HM114226	IncX1	30199	Escherichia coli	562		21625636	PMC3097218	10.1371/journal.pone.0019912	2011	Lars H. Hansen	
JN935898	IncX1	47506	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JN935897	IncX1	31684	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
CU928149	IncX1	33809	Escherichia coli	585056		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JQ269336	IncX1	38611	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JF776874	IncX1	38611	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
FJ666132	IncX1	42644	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
EU219533	IncX1	32950	Salmonella enterica	149539		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
DQ115387	IncX1	34595	Salmonella enterica	98360		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
HE578058	IncX1	32533	Shigella sp. LN126	1072659		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JQ269335	IncX2	34294	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
LT827129	IncX2	39872	Escherichia coli strain K12 J53	562		9218765			1997	Nunez B	
JN935899	IncX3	34945	Escherichia coli	562		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
JN247852	IncX3	43380	Klebsiella pneumoniae	573		22470007		10.1016/j.plasmid.2012.03.001	2012	TJ Johnson	
KU761328	IncX3	46161	Klebsiella pneumoniae	573		26842776		10.1128/AAC.00550-16	2016	Li,A.	
FN543504	IncX4	39265	Citrobacter rodentium	637910		21911569		10.1128/JB.01144-09.	2011	Partridge,S.R.	
KX711707	IncX4	34997	Escherichia coli	562		28336940		10.1038/s41598-017-00095-x	2017	Sun J	
KX711708	IncX4	34924	Escherichia coli	562		28336940		10.1038/s41598-017-00095-x	2017	Sun J	
JN194214	IncX4	34345	Escherichia coli	562		21911569			2011	Partridge,S.R.	
KU761327	IncX4	33287	Klebsiella pneumoniae	573		26842776		10.1128/AAC.00550-16	2016	Li,A.	
JX258655	IncX4	32447	Salmonella enterica	611		26842776		10.1128/AAC.00550-16	2016	Li,A.	
CP001059	IncX4	33103	Shigella boydii	344609		21911569			2011	Partridge,S.R.	
JX193302	IncX5	47387	Klebsiella pneumoniae strain BK31567	573		23114770			2013	Chen,L.	
KX880944	IncY	97386	Escherichia coli	562		28031198	PMC5328573 		2017	Zhang C	
AY301063	rep_cluster_1010	5424	Aeromonas salmonicida	382245		22862417		10.1111/j.1472-765X.2012.03293.x	2012	J.E. Han	
JN315885	rep_cluster_1068	6903	Aeromonas hydrophila	644		22862417		10.1111/j.1472-765X.2012.03293.x	2012	J.E. Han	
JN315884	rep_cluster_1068	6900	Aeromonas sobria	646		22862417		10.1111/j.1472-765X.2012.03293.x	2012	J.E. Han	
AY301065	rep_cluster_1069	5616	Aeromonas salmonicida	382245		22862417		10.1111/j.1472-765X.2012.03293.x	2012	J.E. Han	
FJ628167	rep_cluster_1254	151188	Klebsiella pneumoniae	573		20547789			2010	Jiang,Y.	
DQ449578	rep_cluster_1418	98264	Klebsiella pneumoniae	573		16940067	PMC1635178		2006	Chen,Y.T.	
LT985287	rep_cluster_1760	49251	Escherichia coli	562							
CP003036	rep_cluster_2131	5163	Escherichia coli	562		25389419	PMC4211555	10.3389/fmicb.2014.00558	2014	Rahube TO	
FJ628167	rep_cluster_2183	151188	Klebsiella pneumoniae	573		20547789			2010	Jiang,Y.	
KC788405	rep_cluster_2244	145401	Escherichia coli	562		30761100	PMC6361801	https://doi.org/10.3389/fmicb.2019.00048	2019	Zhang D	
GQ374157	rep_cluster_2335	3071	Escherichia coli	562		20008783	PMC2812132 	10.1128/AAC.01160-09	2010	Pallecchi,L.	
GQ374156	rep_cluster_2335	2699	Escherichia coli	562		20008783	PMC2812132 	10.1128/AAC.01160-09	2010	Pallecchi,L.	
J01749	rep_cluster_2350	4361	E. coli K-12 	562		6263753			1981	Covarrubias,L.	It has been demonstrated that the nonconjugative plasmid ColE1 can be mobilized by the self-transmissible plasmids F or R64drdl 1 
CP014198	rep_cluster_2350	7057	Escherichia coli	562		26802429	PMC4825418 	10.1093/gbe/evw008	2016	Kurylo CM	A third of the 6.6 kb genome of ColE1 is devoted to mobilization (mob) genes necessary to promote its specific transfer in the presence of conjugative plasmids (PMID:2671664)
AY929248	rep_cluster_2350	8318	Escherichia coli	562		17122402	PMC1800769 	10.1128/AEM.01780-06	2007	Rijavec M	
KJ850907	rep_cluster_236	41518	Escherichia coli	562		25628616			2015	Li,X.	
CP003227	rep_cluster_2373	3353	Klebsiella pneumoniae	573		26169555		https://doi.org/10.1093/jac/dkv204	2015	Bi D	
